"name","type","address","zip_code","state_ab","city","zip_code-2","lst","lon","mean","median","stdev","sum_w"
"Bangin Buns","hotdogs","1457 E Florence Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"The Buffalo Spot - Huntington Park","hotdogs","5918 Pacific Blvd","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"In-N-Out Burger","burgers","6000 Pacific Blvd","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"Rally's","burgers","7207 South Avalon Boulevard","90003","CA","Los Angeles","90003",33.966092,-118.2752631,37936,34678,22619,415.5881723
"Johns Drive-In Hamburgers","burgers","6625 E Santa Fe Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"McDonald's","hotdogs","2303 E Florence Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"Tam's Burgers No 7","burgers","5023 S Central Ave","90011","CA","Los Angeles","90011",34.0218419,-118.2570623,37079,25700,36339,296.0595691
"Jack in the Box","hotdogs","1355 E Florence Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"Bill's Drive In","burgers","1664 E Florence Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"Taco Bell","hotdogs","2543 Slauson Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"Chick-fil-A","hotdogs","3758 S Figueroa St","90007","CA","Los Angeles","90007",34.0435736,-118.2960214,43755,38672,29764,511.4883872
"Monty’s Chicken & Waffles","waffles","358 W 38th St","90037","CA","Los Angeles","90037",34.0073136,-118.2893576,27902,24958,24136,307.4129404
"China King Express","chinese","1901 E Gage Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"Jack in the Box","hotdogs","2601 E Slauson Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"McDonald's","burgers","1118 Slauson Ave","90011","CA","Los Angeles","90011",34.0218419,-118.2570623,37079,25700,36339,296.0595691
"Fatburger","burgers","5867 Central Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"El Pollo Loco","hotdogs","4405 Avalon Blvd","90011","CA","Los Angeles","90011",34.0218419,-118.2570623,37079,25700,36339,296.0595691
"El Pariente","mexican","7400 Pacific Blvd","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"The Garbage Truck","foodtrucks",NULL,"90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"Carl's Jr","hotdogs","1439 E Gage Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"WaBa Grill","hotdogs","5857 S Central Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"Tacos Los Tomateros","hotdogs","7625 S Alameda St","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"McDonald's","hotdogs","3737 Soto St","90058","CA","Los Angeles","90058",33.9992469,-118.2432565,27709,21613,21297,131.4925498
"Yoshinoya","japanese","1802 E. Slauson Ave.","90058","CA","Los Angeles","90058",33.9992469,-118.2432565,27709,21613,21297,131.4925498
"Lucy's Restaurant","burgers","7313 S Central Ave","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"The Los Angeles Banh Mi Company","vietnamese","2479 E Florence Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"Chipotle Mexican Grill","mexican","2110 E Florence Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"Tam's Burgers No 27","burgers","2850 E Slauson Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
"Panda Express","chinese","5867 S. Central Avenue","90001","CA","Los Angeles","90001",33.9729857,-118.2628927,36769,30036,30034,254.6590909
"Original Tommy's World Famous Hamburgers","burgers","7200 Seville Ave","90255","CA","Huntington Park","90255",33.9832062,-118.2208725,35969,27107,25779,498.327462
