Name,Type,Address,Zip Code
0,hotdogs,1457EFlorenceAve,90001
1,hotdogs,5918PacificBlvd,90255
2,burgers,6000PacificBlvd,90255
3,burgers,7207SouthAvalonBoulevard,90003
4,burgers,6625ESantaFeAve,90255
5,hotdogs,2303EFlorenceAve,90255
6,burgers,5023SCentralAve,90011
7,hotdogs,1355EFlorenceAve,90001
8,burgers,1664EFlorenceAve,90001
9,hotdogs,2543SlausonAve,90255
10,hotdogs,3758SFigueroaSt,90007
11,waffles,358W38thSt,90037
12,chinese,1901EGageAve,90001
13,hotdogs,2601ESlausonAve,90255
14,burgers,1118SlausonAve,90011
15,burgers,5867CentralAve,90001
16,hotdogs,4405AvalonBlvd,90011
17,mexican,7400PacificBlvd,90255
18,foodtrucks,,90001
19,hotdogs,1439EGageAve,90001
20,hotdogs,5857SCentralAve,90001
21,hotdogs,7625SAlamedaSt,90001
22,hotdogs,3737SotoSt,90058
23,japanese,1802ESlausonAve,90058
24,burgers,7313SCentralAve,90001
25,vietnamese,2479EFlorenceAve,90255
26,mexican,2110EFlorenceAve,90255
27,burgers,2850ESlausonAve,90255
28,chinese,5867SCentralAvenue,90001
29,burgers,7200SevilleAve,90255
30,burgers,1774EFlorenceAve,90001
31,mexican,6915SantaFeAve,90255
32,mexican,7714ComptonAve,90001
33,mexican,4380SBroadway,90037
34,chicken_wings,2124EFlorenceAve,90255
35,pizza,6700SCentralAve,90001
36,burgers,1500ESlausonAve,90011
37,tex-mex,8515SCentralAve,90001
38,chinese,2120EFlorenceAve,90255
39,mexican,6480SantaFeAve,90255
40,burgers,7120SBroadway,90003
41,cheesesteaks,358W38thSt,90037
42,tradamerican,3805SSotoSt,90058
43,hotdogs,2401EFlorenceAve,90255
44,mexican,1471EVernonAve,90011
45,burgers,1202FirestoneBlvd,90001
46,hotdogs,8530FigueroaSt,90003
47,hotdogs,101EManchesterAve,90003
48,mexican,2501ESlausonAve,90255
49,burgers,5630SCentralAve,90011
50,hotdogs,11800WilmingtonAve,90059
51,burgers,7207SouthAvalonBoulevard,90003
52,hotdogs,3297TweedyBlvd,90280
53,chicken_wings,1653103rdSt,90002
54,burgers,10307SCentralAve,90002
55,chicken_wings,9101SCentralAve,90002
56,burgers,11603SlaterSt,90059
57,burgers,2825EImperialHwy,90262
58,burgers,6000PacificBlvd,90255
59,mexican,11758SWilmington,90059
60,hotdogs,101EManchesterAve,90003
61,hotdogs,2303EFlorenceAve,90255
62,foodtrucks,,90001
63,mexican,9919SouthAvalonBlvd,90003
64,tex-mex,8515SCentralAve,90001
65,burgers,1673103rdSt,90002
66,burgers,100EManchesterAve,90003
67,chicken_wings,10007SCentralAve,90002
68,burgers,1202FirestoneBlvd,90001
69,hotdogs,5918PacificBlvd,90255
70,hotdogs,7625SAlamedaSt,90001
71,burgers,7313SCentralAve,90001
72,burgers,1664EFlorenceAve,90001
73,burgers,6625ESantaFeAve,90255
74,burgers,1220EFirestoneBlvd,90001
75,cafes,3008TweedyBlvd,90280
76,hotdogs,1355EFlorenceAve,90001
77,foodtrucks,728E108thSt,90059
78,hotdogs,10011SAvalonBlvd,90003
79,burgers,8681SAlamedaSt,90002
80,hotdogs,2310FirestoneBlvd,90280
81,burgers,1774EFlorenceAve,90001
82,southern,11111WilmingtonAve,90059
83,hotdogs,12800AvalonBlvd,90061
84,breakfast_brunch,2709FirestoneBlvd,90280
85,burgers,3234EastFlorence,90255
86,hotdogs,11864WilmingtonAve,90059
87,chicken_wings,1030EastManchester,90001
88,hotdogs,2601ESlausonAve,90255
89,hotdogs,8530FigueroaSt,90003
90,fishnchips,11816WilmingtonAve,90059
91,burgers,7200SevilleAve,90255
92,vietnamese,2479EFlorenceAve,90255
93,mexican,7400PacificBlvd,90255
94,mexican,7714ComptonAve,90001
95,hotdogs,8515SCentralAve,90001
96,hotdogs,3297TweedyBlvd,90280
97,mexican,11700LongBeachBlvd,90262
98,burgers,1090FremontBlvd,93955
99,mexican,12102LongBeachBlvd,90262
100,burgers,7207SouthAvalonBoulevard,90003
101,burgers,100EManchesterAve,90003
102,hotdogs,101EManchesterAve,90003
103,hotdogs,11400SFigueroaSt,90061
104,burgers,805WManchesterAve,90044
105,hotdogs,101WManchesterAve,90003
106,hotdogs,8530FigueroaSt,90003
107,chicken_wings,9101SCentralAve,90002
108,burgers,5023SCentralAve,90011
109,burgers,7120SBroadway,90003
110,mexican,4380SBroadway,90037
111,burgers,500WManchesterAve,90044
112,hotdogs,1360WImperialAve,90044
113,foodtrucks,,90001
114,burgers,501WImperialHwy,90044
115,burgers,7313SCentralAve,90001
116,mexican,9919SouthAvalonBlvd,90003
117,tex-mex,8515SCentralAve,90001
118,hotdogs,11800WilmingtonAve,90059
119,hotdogs,505WFlorenceAve,90044
120,foodtrucks,728E108thSt,90059
121,chicken_wings,2108WManchesterAve,90047
122,soulfood,106WManchesterAve,90003
123,mexican,5801SVermontAve,90044
124,chickenshop,1824WManchesterAve,90047
125,burgers,5950SVermontAve,90044
126,burgers,11603SlaterSt,90059
127,burgers,1664EFlorenceAve,90001
128,cheesesteaks,1855WManchesterAve,90047
129,hotdogs,7201SWesternAve,90047
130,burgers,9401AvalonBlvd,90003
131,chicken_wings,8330SVermontAve,90044
132,japanese,539EastFlorenceAve,90003
133,burgers,10307SCentralAve,90002
134,burgers,722WFlorenceAve,90044
135,chinese,519WManchesterAve,90044
136,chicken_wings,8300SWesternAve,90047
137,chicken_wings,1653103rdSt,90002
138,burgers,6225SBroadwayAve,90003
139,burgers,5867CentralAve,90001
140,chicken_wings,1030EastManchester,90001
141,burgers,304WCenturyBlvd,90003
142,hotdogs,4405AvalonBlvd,90011
143,hotdogs,10011SAvalonBlvd,90003
