,Name,Type,Address,Zip Code
0,"('Bangin Buns',)",hotdogs,1457EFlorenceAve,90001
1,"('The Buffalo Spot - Huntington Park',)",hotdogs,5918PacificBlvd,90255
2,"('In-N-Out Burger',)",burgers,6000PacificBlvd,90255
3,"(""Rally's"",)",burgers,7207SouthAvalonBoulevard,90003
4,"('Johns Drive-In Hamburgers',)",burgers,6625ESantaFeAve,90255
5,"(""McDonald's"",)",hotdogs,2303EFlorenceAve,90255
6,"(""Tam's Burgers No 7"",)",burgers,5023SCentralAve,90011
7,"('Jack in the Box',)",hotdogs,1355EFlorenceAve,90001
8,"(""Bill's Drive In"",)",burgers,1664EFlorenceAve,90001
9,"('Taco Bell',)",hotdogs,2543SlausonAve,90255
10,"('Chick-fil-A',)",hotdogs,3758SFigueroaSt,90007
11,"('Monty’s Chicken & Waffles',)",waffles,358W38thSt,90037
12,"('China King Express',)",chinese,1901EGageAve,90001
13,"('Jack in the Box',)",hotdogs,2601ESlausonAve,90255
14,"(""McDonald's"",)",burgers,1118SlausonAve,90011
15,"('Fatburger',)",burgers,5867CentralAve,90001
16,"('El Pollo Loco',)",hotdogs,4405AvalonBlvd,90011
17,"('El Pariente',)",mexican,7400PacificBlvd,90255
18,"('The Garbage Truck',)",foodtrucks,,90001
19,"(""Carl's Jr"",)",hotdogs,1439EGageAve,90001
20,"('WaBa Grill',)",hotdogs,5857SCentralAve,90001
21,"('Tacos Los Tomateros',)",hotdogs,7625SAlamedaSt,90001
22,"(""McDonald's"",)",hotdogs,3737SotoSt,90058
23,"('Yoshinoya',)",japanese,1802ESlausonAve,90058
24,"(""Lucy's Restaurant"",)",burgers,7313SCentralAve,90001
25,"('The Los Angeles Banh Mi Company',)",vietnamese,2479EFlorenceAve,90255
26,"('Chipotle Mexican Grill',)",mexican,2110EFlorenceAve,90255
27,"(""Tam's Burgers No 27"",)",burgers,2850ESlausonAve,90255
28,"('Panda Express',)",chinese,5867SCentralAvenue,90001
29,"(""Original Tommy's World Famous Hamburgers"",)",burgers,7200SevilleAve,90255
30,"('Boys Burgers',)",burgers,1774EFlorenceAve,90001
31,"(""Albert's Mexican Food"",)",mexican,6915SantaFeAve,90255
32,"('Birrieria Jalisco',)",mexican,7714ComptonAve,90001
33,"('Tacos Gavilan',)",mexican,4380SBroadway,90037
34,"('Wingstop',)",chicken_wings,2124EFlorenceAve,90255
35,"(""Andy's Pizzeria And Mexican Food"",)",pizza,6700SCentralAve,90001
36,"(""Tom's Jr"",)",burgers,1500ESlausonAve,90011
37,"('Taco Bell',)",tex-mex,8515SCentralAve,90001
38,"('Panda Express',)",chinese,2120EFlorenceAve,90255
39,"('Guajillo Restaurant',)",mexican,6480SantaFeAve,90255
40,"('Jack in the Box',)",burgers,7120SBroadway,90003
41,"('Figueroa Philly Cheese Steak',)",cheesesteaks,358W38thSt,90037
42,"(""Z's Place"",)",tradamerican,3805SSotoSt,90058
43,"(""Carl's Jr"",)",hotdogs,2401EFlorenceAve,90255
44,"('La Carreta',)",mexican,1471EVernonAve,90011
45,"('Burger King',)",burgers,1202FirestoneBlvd,90001
46,"('Popeyes Louisiana Kitchen',)",hotdogs,8530FigueroaSt,90003
47,"('El Pollo Loco',)",hotdogs,101EManchesterAve,90003
