State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
CA,Bieber,96009,41.199312,-120.956779,54602,300000,32641,37.8988659229674
CA,Blocksburg,95514,40.161347,-123.615729,24830,300000,14770,140.0
CA,Alpine,91901,32.842286,-116.756044,91662,79440,65636,2524.28805518864
CA,Watsonville,95076,36.959483,-121.781739,63761,48440,55214,620.110873436596
CA,Aptos,95003,36.991147,-121.892758,96841,82737,67911,1074.37648445388
CA,Arroyo Grande,93420,35.124305,-120.584854,81093,63124,62913,3757.19813633919
CA,Auburn,95603,38.895075,-121.076739,71164,52951,60295,3517.81296487666
CA,Bakersfield,93304,35.321213,-119.018291,71025,56986,57439,62475.4128091042
CA,Eureka,95503,40.765335,-124.178605,41404,31689,37090,805.41557902839
CA,Bella Vista,96008,40.651672,-122.256513,60891,54896,39884,576.705298264188
CA,Benton,93512,37.843606,-118.4899,33158,31129,17722,125.197201304273
CA,Big Bend,96011,41.011615,-121.930444,29530,19739,22104,51.399580435958
CA,Novato,94945,38.109893,-122.518376,132698,127534,71468,131.454210340656
CA,Bolinas,94924,37.917725,-122.709502,100173,76150,73456,241.254868165669
CA,Borrego Springs,92004,33.245398,-116.357035,41547,31028,31083,897.97910321573
CA,Brentwood,94513,37.935905,-121.718547,100640,92772,64768,7494.29857104342
CA,Buellton,93427,34.615497,-120.194237,80327,71623,55978,887.14110789953
CA,Oroville,95965,39.668804,-121.645889,78774,55666,52503,114.293737781304
CA,Calimesa,92399,33.987344,-117.054211,61578,45346,50889,2145.65704358819
CA,Cambria,93428,35.552479,-121.084527,78162,60687,56027,1536.92705566636
CA,Camptonville,95922,39.452065,-121.048719,45763,32833,48119,67.7974994781688
CA,Bodega Bay,94923,38.374452,-123.071859,32499,300000,1826,7.0
CA,Santa Maria,93455,34.837589,-120.531071,72668,300000,26981,16.3323021486756
CA,Cazadero,95421,38.527831,-123.109799,57388,41500,50971,87.5967863255906
CA,Covina,91724,34.102483,-117.856315,74506,62609,49426,1443.87355181399
CA,Chino,91710,33.978037,-117.657719,82439,72505,56415,9358.20926724084
CA,Clayton,94517,37.94032,-121.930076,135724,130312,75495,1170.29716196454
CA,Concord,94520,38.0254,-122.02806,67508,39905,59076,185.8945946976
CA,Colfax,95713,39.093799,-120.953222,62241,48972,48721,597.712204758276
CA,Compton,90220,33.894047,-118.227469,52186,43250,40688,15651.3500894229
CA,West Covina,91723,34.090475,-117.882143,77334,64833,55152,7877.27452465529
CA,Quincy,95971,39.868383,-120.690446,36865,26537,29934,77.6630243601567
CA,Daly City,94014,37.700941,-122.464979,88415,74953,62070,14227.3302497758
