State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
NY,Adams,13605,43.810218,-76.022978,54499,37697,48943,470.579258240258
NY,Alexander,14005,42.902021,-78.259113,64770,57765,40606,91.7953648803724
NY,Amenia,12501,41.848203,-73.555575,82188,56048,67388,245.05768512596
NY,Apalachin,13732,42.070565,-76.162636,73219,54363,55251,311.05539999693
NY,Hempstead,11550,40.588013,-73.72936,131519,114157,78333,183.382856718209
NY,Bainbridge,13733,42.301697,-75.478883,52841,44096,42015,348.18707623717
NY,Island Park,11558,40.606348,-73.645982,110516,91529,71566,289.377702032275
NY,Washingtonville,10992,41.447173,-74.118707,100299,102874,56742,258.481908527586
NY,Belmont,14813,42.220105,-78.030794,46554,39086,35590,318.020553362372
NY,Blauvelt,10913,41.068236,-73.954937,123435,115560,76643,545.788322836077
NY,Boonville,13309,43.480862,-75.329636,48744,30120,49269,601.409011604171
NY,Bridgeport,13030,43.149446,-75.98531,56966,300000,38069,132.495496349285
NY,Bronxville,10708,40.939444,-73.826446,166618,188499,84387,511.754998969851
NY,Dansville,14437,42.583882,-77.791523,49572,300000,30354,17.0991872667097
NY,Canajoharie,13317,42.89908,-74.567869,57101,46044,47326,504.848110088504
NY,Caroga Lake,12032,43.134003,-74.481423,62519,41994,54778,154.996132919096
NY,Ithaca,14850,42.467675,-76.488417,103670,79328,74957,675.257092627592
NY,Oyster Bay,11771,40.898546,-73.521919,144265,138812,84906,45.4956863207901
NY,Binghamton,13901,42.171427,-75.857719,78956,69168,54557,539.036370789139
NY,Westmoreland,13490,43.084579,-75.376112,56797,54115,39674,614.196414866053
NY,Cobleskill,12043,42.679002,-74.485234,53309,36775,53716,998.022886609032
NY,Livonia,14487,42.802175,-77.70112,88118,74743,62925,595.169457696116
NY,Copiague,11726,40.671987,-73.39386,81303,66593,58967,3767.79649048046
NY,Coxsackie,12051,42.357628,-73.807989,70353,52459,61539,606.041389847955
NY,Plattsburgh,12901,44.716406,-73.396518,79608,300000,58886,366.483265673038
NY,De Kalb Junction,13630,44.512052,-75.297688,85971,73180,60953,71.5282304026736
NY,Dexter,13634,44.011179,-76.042982,57122,47195,46662,316.350723633272
NY,Delanson,12053,42.763423,-74.133129,67812,300000,52636,48.7979519180767
NY,Farmingdale,11735,40.729308,-73.414205,93730,82140,64884,830.383313236317
NY,Massapequa,11758,40.675844,-73.436615,109322,96675,70892,2475.90852760777
NY,East Rochester,14445,43.11221,-77.487176,55308,46808,43831,1877.2558784994
NY,Elba,14058,43.076804,-78.188908,76405,70770,40678,114.692803833381
NY,Elmsford,10523,41.054129,-73.814401,97557,86468,58902,572.884055252177
NY,Fairport,14450,43.099465,-77.443069,78131,300000,52336,1251.73869748196
NY,Islip,11751,40.637142,-73.203324,105935,103487,66101,39.6641007882218
NY,Fonda,12068,42.953384,-74.372869,53996,39436,46500,202.327435905552
NY,Northport,11768,40.903614,-73.302468,136044,117352,84548,1044.0859353641
NY,Frewsburg,14738,42.056055,-79.133687,58274,45972,43214,610.541249606814
NY,Franklin Square,11010,40.712115,-73.660449,118794,104838,78105,497.835025846181
NY,Gilbertsville,13776,42.46933,-75.322609,61087,38816,59847,98.1298198807478
NY,Gloversville,12078,43.049244,-74.345815,44894,33838,39540,4318.87503168747
NY,Granville,12832,43.413407,-73.264393,48424,37284,41510,723.435370208811
NY,Greenlawn,11740,40.864095,-73.363427,102766,86065,74841,1929.75464238475
NY,Mount Morris,14510,42.663379,-77.76667,49589,45917,37799,73.7981432313471
NY,Hammond,13646,44.446385,-75.693499,42022,35271,35731,98.4963310104221
NY,Williamsville,14221,42.972969,-78.679265,92603,87700,61797,921.042523262612
NY,Saint James,11780,40.897658,-73.161536,140932,138770,83016,143.787846102244
NY,Hewlett,11557,40.641996,-73.694393,118530,106580,71170,716.910762039086
NY,Kingston,12401,41.91905,-74.033686,119931,93481,74414,98.3242733715749
NY,Honeoye,14471,42.790135,-77.514793,52816,300000,31297,193.594890322712
NY,Hudson Falls,12839,43.304735,-73.581587,48489,41184,40339,1984.62744496059
NY,Inwood,11096,40.621346,-73.75699,61577,48669,49455,1812.0453172079
NY,Jamestown,14701,42.088508,-79.281097,66200,62644,47821,520.775591839156
NY,Keeseville,12944,44.50474,-73.482094,43523,29368,36824,312.787015661149
NY,Lake Katrine,12449,41.985218,-73.989759,54304,29971,55971,574.977076148479
NY,Lancaster,14086,42.9006,-78.668775,63941,49995,45222,2712.70342114846
NY,Le Roy,14482,42.978006,-77.990874,58405,41470,51411,1092.12453960144
