State_ab,Zip_Code
AL,36611
AL,36048
AL,35051
AL,36572
AL,36528
AL,35057
AL,36426
AL,36020
AL,35621
AL,35151
AL,35986
AL,35901
AL,36033
AL,35136
AL,36744
AL,35563
AL,36344
AL,35080
AL,35903
AL,36467
AL,35954
AL,35576
AL,35771
AL,36420
AL,36455
AL,36553
AL,36750
AL,35064
AL,36606
AL,35650
AL,35661
AL,36765
AL,35476
AL,36801
AL,35477
AL,36867
AL,36022
AL,36067
AL,35582
AL,36421
AL,35049
AL,35143
AL,36877
AL,35581
AL,35148
AL,36078
AL,36619
AL,35406
AL,36854
AL,35178
AL,36850
AL,36280
AL,36276
AL,35442
AL,35120
AL,36830
AL,36509
AL,35022
AL,35443
AL,35548
AL,35040
AL,35447
AL,35004
AL,35242
AL,35043
AL,35114
AL,36271
AL,35160
AL,35150
AL,36853
AL,35475
AL,35404
AL,35401
AL,35578
AL,36863
AL,36558
AL,35541
AL,36025
AL,36051
AL,36562
AL,36507
AL,36526
AL,36551
AL,36567
AL,35045
AL,36532
AL,36535
AL,36547
AL,32506
AL,36016
AL,36027
AL,35034
AL,35121
AL,36908
AL,35031
AL,35079
AL,36089
AL,36037
AL,36456
AL,36201
AL,36207
AL,36203
AL,36265
AL,36545
AL,36272
AL,36250
AL,36862
AL,35983
AL,36275
AL,36346
AL,35085
AL,36091
AL,36904
AL,36784
AL,36451
AL,36251
AL,36264
AL,36453
AL,36330
AL,35660
AL,35674
AL,35662
AL,35646
AL,36432
AL,36049
AL,35019
AL,35179
AL,35055
AL,35070
AL,36362
AL,36401
AL,36360
AL,36322
AL,36350
AL,36703
AL,36701
AL,36767
AL,36986
AL,35971
AL,35962
AL,35967
AL,36024
AL,36092
AL,36054
AL,36504
AL,36041
AL,35904
AL,35906
AL,35905
AL,35555
AL,35546
AL,35653
AL,35593
AL,36477
AL,36375
AL,39851
AL,36352
AL,36303
AL,36301
AL,36376
AL,36312
AL,35979
AL,35772
AL,35768
AL,35212
AL,35214
AL,35204
AL,35202
AL,35218
AL,35208
AL,35211
AL,35222
AL,35205
AL,35213
AL,35209
AL,35215
AL,35023
AL,35020
AL,36576
AL,35217
AL,35173
AL,35220
AL,35091
AL,35117
AL,35071
AL,35073
AL,35127
AL,35005
AL,35206
AL,35243
AL,35216
AL,35221
AL,35111
AL,36066
AL,35226
AL,35592
AL,35630
AL,35633
AL,35634
AL,35645
AL,35652
AL,35672
AL,35673
AL,35651
AL,36874
AL,35613
AL,35620
AL,35611
AL,35758
AL,36032
AL,36088
AL,36075
AL,35810
AL,35811
AL,35806
AL,35801
AL,35816
AL,35805
AL,35502
AL,35803
AL,35761
AL,35749
AL,35763
AL,36748
AL,36736
AL,35570
AL,35747
AL,35175
AL,35016
AL,35976
AL,35951
AL,35950
AL,35462
AL,35957
AL,36617
AL,36604
AL,36605
AL,36693
AL,36310
AL,36609
AL,36618
AL,36608
AL,36561
AL,36613
AL,36571
AL,36560
AL,36587
AL,36575
AL,36695
AL,36541
AL,36544
AL,36461
AL,36480
AL,36107
AL,36109
AL,36108
AL,36106
AL,36111
AL,36105
AL,35766
AL,36116
AL,36110
AL,36117
AL,36064
AL,36043
AL,35601
AL,35603
AL,35640
AL,35670
AL,36756
AL,35466
AL,36081
AL,36278
AL,36274
AL,36870
AL,36868
AL,35128
AL,35953
AL,35124
AL,35007
AL,35115
AL,35186
AL,35044
AL,35010
AL,35446
AL,35444
AL,35453
AL,35235
AL,35405
AL,35503
AL,35504
AL,35579
AL,35550
AL,35584
AL,36548
AL,36726
AL,36768
AL,35553
AL,35565
AL,35094
AL,35210
AL,35228
AL,36804
AL,36040
AL,36083
AL,35133
AL,35802
AL,35594
AL,36603
AL,36607
AL,36610
AL,36069
AL,36869
AK,99554
AK,99744
AK,99723
AK,99727
AK,99563
AK,99557
AK,99573
AK,99576
AK,99702
AK,99583
AK,99603
AK,99709
AK,99743
AK,99745
AK,99747
AK,99749
AK,99615
AK,99621
AK,99901
AK,99630
AK,99827
AK,99720
AK,99761
AK,99666
AK,99833
AK,99501
AK,99950
AK,99591
AK,99770
AK,99840
AK,99774
AK,99777
AK,99588
AK,99684
AK,99737
AK,99579
AK,99687
AK,99654
AK,99780
AK,99675
AK,99508
AK,99567
AK,99577
AK,99504
AK,99517
AK,99507
AK,99503
AK,99502
AK,99518
AK,99515
AK,99516
AK,99587
AK,99559
AK,99701
AK,99705
AK,99829
AK,99801
AK,99631
AK,99611
AK,99556
AK,99624
AK,99658
AK,99645
AK,99762
AK,99926
AK,99835
AK,99677
AK,99746
AK,99672
AZ,85634
AZ,85131
AZ,86432
AZ,85605
AZ,86045
AZ,85739
AZ,86503
AZ,86401
AZ,85501
AZ,85364
AZ,86042
AZ,86001
AZ,85295
AZ,86441
AZ,85292
AZ,86025
AZ,86033
AZ,86039
AZ,86440
AZ,85282
AZ,85541
AZ,85547
AZ,85543
AZ,85608
AZ,85350
AZ,85553
AZ,85614
AZ,85631
AZ,86043
AZ,85635
AZ,85925
AZ,85374
AZ,85347
AZ,86047
AZ,85273
AZ,86040
AZ,86326
AZ,85356
AZ,85321
AZ,85362
AZ,85298
AZ,85242
AZ,85268
AZ,85540
AZ,86442
AZ,86439
AZ,86406
AZ,86510
AZ,86054
AZ,85929
AZ,85901
AZ,85701
AZ,85716
AZ,85334
AZ,85713
AZ,85711
AZ,85706
AZ,85715
AZ,85748
AZ,85710
AZ,85641
AZ,85373
AZ,85622
AZ,85629
AZ,85745
AZ,85743
AZ,85705
AZ,85704
AZ,85936
AZ,85755
AZ,85718
AZ,85387
AZ,85750
AZ,85132
AZ,85220
AZ,85623
AZ,85222
AZ,85204
AZ,85241
AZ,85621
AZ,85322
AZ,86305
AZ,86312
AZ,86321
AZ,86351
AZ,85366
AZ,85349
AZ,85333
AZ,85335
AZ,86504
AZ,86505
AZ,85602
AZ,85627
AZ,85712
AZ,85607
AZ,85340
AZ,85615
AZ,85670
AZ,85650
AZ,86004
AZ,85338
AZ,86053
AZ,85544
AZ,85539
AZ,85550
AZ,85379
AZ,85552
AZ,85546
AZ,85009
AZ,85344
AZ,85327
AZ,85378
AZ,85342
AZ,85388
AZ,85326
AZ,85018
AZ,85382
AZ,85308
AZ,85031
AZ,85381
AZ,85323
AZ,85363
AZ,85306
AZ,60048
AZ,85345
AZ,85037
AZ,85286
AZ,85353
AZ,85302
AZ,85301
AZ,85303
AZ,85307
AZ,85032
AZ,85254
AZ,85023
AZ,85020
AZ,85029
AZ,85305
AZ,85051
AZ,85304
AZ,85028
AZ,85253
AZ,85021
AZ,85016
AZ,85015
AZ,85019
AZ,85012
AZ,85014
AZ,85013
AZ,85033
AZ,85008
AZ,85006
AZ,85002
AZ,85035
AZ,85043
AZ,85007
AZ,85034
AZ,85041
AZ,85040
AZ,85042
AZ,85044
AZ,85048
AZ,85258
AZ,85266
AZ,85259
AZ,85255
AZ,85250
AZ,85251
AZ,85257
AZ,85271
AZ,85281
AZ,85285
AZ,85283
AZ,85207
AZ,85205
AZ,85215
AZ,85206
AZ,85201
AZ,85203
AZ,85213
AZ,85202
AZ,85210
AZ,85224
AZ,85233
AZ,85754
AZ,85234
AZ,85296
AZ,85236
AZ,85208
AZ,85209
AZ,85212
AZ,85086
AZ,85383
AZ,85310
AZ,85027
AZ,85053
AZ,85050
AZ,85022
AZ,85226
AZ,85284
